Division ID,Place,Points,Name,PDGA Number,Rating,Par,Rd1,Rd1 Rating,Rd1 Layout,Rd2,Rd2 Rating,Rd2 Layout,Rd3,Rd3 Rating,Rd3 Layout,Total

Event: Battle on the Bann ‘23 in association with Flickline Disc golf 
MPO,1,30.00,Dustin Keegan,35187,1002,-23,53,979,60,57,970,60,47,1038,60,157
MPO,2,25.00,Mark Oxer,112340,896,-3,62,890,60,60,943,60,55,959,60,177
MPO,2,25.00,Benjamin Smith,34835,950,-3,55,959,60,60,943,60,62,890,60,177
MPO,4,15.00,Jake Walpole,124575,903,-1,57,940,60,59,952,60,63,880,60,179
MPO,5,10.00,Ben Matthews,146880,942,+1,64,871,60,62,924,60,55,959,60,181
MPO,6,0.00,Asim Ali,133094,949,,60,910,60,64,906,60,999,,60,DNF
FPO,1,3.00,Zoe AnDyke,39504,914,-4,60,910,60,60,943,60,56,950,60,176
MA1,1,35.00,Daniel Morgan,140118,874,+4,60,910,60,63,915,60,61,900,60,184
MA1,2,30.00,Jakob Zwank,191632,901,+4,62,890,60,65,896,60,57,940,60,184
MA1,3,25.00,Patrick McGeough,176105,904,+7,62,890,60,65,896,60,60,910,60,187
MA1,4,20.00,Sean Craig,137639,895,+13,60,910,60,75,804,60,58,930,60,193
MA1,5,15.00,Chris Millar,111810,873,+15,64,871,60,68,869,60,63,880,60,195
MA1,6,10.00,Andrew Coulter,184370,857,+22,66,851,60,68,869,60,68,831,60,202
MA1,7,0.00,Isaac McCauley,182219,869,,64,871,60,63,915,60,999,,60,DNF
FA1,1,6.00,Jennifer Houghtaling,83256,788,+35,73,749,60,72,794,60,70,780,60,215
FA1,2,0.00,Eavan O’Brien,,,,78,696,60,70,814,60,999,,60,DNF
MA40,1,24.00,Sanyam McNie,171513,890,-3,60,886,60,62,893,60,55,939,60,177
MA40,2,20.00,Graham McGill,171402,891,+1,62,865,60,62,893,60,57,918,60,181
MA40,3,16.00,David Finley,188784,785,+21,64,844,60,70,814,60,67,812,60,201
MA40,4,12.00,Gary Parr,56750,806,+23,69,791,60,71,804,60,63,854,60,203
MA40,5,8.00,Brian Rainey,185961,711,+37,73,749,60,75,765,60,69,791,60,217
MA40,6,4.00,James Houck,130211,766,+41,80,675,60,72,794,60,69,791,60,221
MA2,1,32.00,Harry McCallum,153637,860,+8,63,854,60,64,873,60,61,876,60,188
MA2,2,28.00,Peter Morrison,188781,861,+9,62,865,60,64,873,60,63,854,60,189
MA2,3,24.00,Jay Penn,135051,856,+12,63,854,60,65,863,60,64,844,60,192
MA2,4,20.00,Pádraig Mulholland,178970,847,+14,63,854,60,68,834,60,63,854,60,194
MA2,5,16.00,Alan Hogg,221136,816,+15,62,865,60,71,804,60,62,865,60,195
MA2,6,12.00,Jack Gibson,236462,794,+22,68,802,60,69,824,60,65,833,60,202
MA2,7,8.00,Patrick Grant,197778,798,+36,82,654,60,67,843,60,67,812,60,216
MA2,8,4.00,Pádraig Ó Gráda,237396,603,+75,80,675,60,93,588,60,82,654,60,255
FA2,1,10.00,Rachel Kane,187942,647,+57,78,696,60,79,725,60,80,675,60,237
FA2,2,8.00,Bronagh Murray,236950,654,+65,81,664,60,79,725,60,85,622,60,245
FA2,3,6.00,Aobh Sharvin,148934,561,+72,85,622,60,82,696,60,85,622,60,252
FA2,4,4.00,Corey Hanna,251491,,+113,103,432,60,99,529,60,91,559,60,293
FA2,5,2.00,Clare Maguire,,,+157,112,337,60,108,440,60,117,284,60,337

Event: Farewell Fanmore 
MPO,1,15.00,James Luton,8856,979,-15,56,984,62,55,1020,62,60,967,62,171
MPO,2,10.00,Pete Dawson,8870,970,-7,58,966,62,60,977,62,61,958,62,179
MPO,3,5.00,Ben Bolton,179709,861,+13,64,911,62,66,927,62,69,888,62,199
MP40,1,4.00,Neal Pickett,8850,904,+29,70,856,62,72,876,62,73,854,62,215
MP60,1,2.00,Charlie Mead,1980,866,+3,66,893,62,,,62,61,958,62,127
MA40,1,20.00,Trevor Bechtel,8805,901,+19,63,920,62,75,850,62,67,906,62,205
MA40,2,16.00,Lloyd Wells,201061,891,+23,69,865,62,70,893,62,70,880,62,209
MA40,3,12.00,David Wilson,203788,876,+27,71,847,62,75,850,62,67,906,62,213
MA40,4,8.00,Graham McGill,171402,890,+28,69,865,62,74,859,62,71,871,62,214
MA40,5,4.00,Michael McGowan,88187,867,+36,74,820,62,78,825,62,70,880,62,222
MA50,1,18.00,John Gore,195461,888,+24,67,883,62,72,876,62,71,871,62,210
MA50,2,15.00,Richard Clegg,8828,830,+47,81,756,62,78,825,62,74,845,62,233
MA50,3,12.00,Tim Herring,8819,806,+48,75,810,62,82,791,62,77,819,62,234
MA50,4,9.00,Peter Keightley,146860,834,+51,77,792,62,81,800,62,79,801,62,237
MA50,5,6.00,Davie Graham,239613,,+87,86,710,62,93,698,62,94,671,62,273
MA50,6,0.00,Arvind Sood,245565,,,89,682,62,999,,62,999,,62,DNF
MA65,1,0.00,Trant Luard,76292,650,,92,655,62,101,631,62,999,,62,DNF
MA2,1,48.00,Jamie Doak,157964,875,+14,71,847,62,65,935,62,64,932,62,200
MA2,2,44.00,Kyle Roderick,203687,872,+15,63,920,62,70,893,62,68,897,62,201
MA2,3,40.00,Ewan Penman,205573,898,+24,72,838,62,73,867,62,65,923,62,210
MA2,4,36.00,Thomas Wells,237667,863,+25,63,920,62,68,910,62,80,793,62,211
MA2,5,32.00,Zvi Teff,50955,862,+38,72,838,62,77,834,62,75,836,62,224
MA2,5,32.00,Adrian Sorin Mutei,239072,,+38,71,847,62,77,834,62,76,827,62,224
MA2,7,24.00,David Faithfull,121935,841,+45,74,820,62,78,825,62,79,801,62,231
MA2,8,20.00,Jamie Wells,,,+48,72,838,62,86,758,62,76,827,62,234
MA2,9,0.00,John Clark,148952,859,,64,911,62,78,825,62,999,,62,DNF
MA2,9,0.00,Ricci Russle,,,,77,792,62,89,732,62,999,,62,DNF
MA2,11,0.00,Callum Beattie,147378,858,,70,856,62,999,,62,999,,62,DNF
MA3,1,42.00,Jon Luke Henderson,237660,850,+25,68,874,62,72,876,62,71,871,62,211
MA3,2,39.00,Stephen Scott,237662,831,+40,71,847,62,74,859,62,81,784,62,226
MA3,3,36.00,Andrea Trevisan,,,+41,70,856,62,76,842,62,81,784,62,227
MA3,4,33.00,James Reddaway,259983,,+42,70,856,62,83,783,62,75,836,62,228
MA3,5,30.00,Michael Varrow,147652,813,+53,80,765,62,79,817,62,80,793,62,239
MA3,6,27.00,Grant Lopes,,,+58,74,820,62,88,741,62,82,775,62,244
MA3,7,24.00,Iain MacKenzie (oggie),,,+60,87,701,62,81,800,62,78,810,62,246
MA3,8,21.00,David Mckie,,,+62,87,701,62,80,808,62,81,784,62,248
MA3,8,21.00,Carl Roderick,214307,786,+62,80,765,62,82,791,62,86,740,62,248
MA3,10,15.00,Anthony Jackson,228139,771,+65,78,783,62,89,732,62,84,758,62,251
