Name,Division ID,Event,Adjusted Total,rank,Quaich Tour Points
A.J. Cotnoir,MA2,BIRN Amateur Championships ,120.0,15.0,67
Adam Gilmour,MA2,Highland Open,237.0,11.0,60
Adam Mackrory,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,209.0,14.0,82
Adrian Sorin Mutei,MPO,Scottish Matchplay Championships - Ides of Match,59,59.0,21
Adrian Sorin Mutei,MA2,Farewell Fanmore ,224.0,16.0,69
Adrian Sorin Mutei,MA2,Scottish Open 2023 presented by Latitude 64,197.0,55.0,19
Adrian Sorin Mutei,MA2,Caledonian Open,201.0,35.0,44
Adrian Sorin Mutei,MA2,BIRN Amateur Championships ,125.0,26.0,41
Adrian Sorin Mutei,MA2,RRR : Rosshall-Ruchill Rumble 2023,124.0,25.0,50
Alan Davidson,MPO,Scottish Matchplay Championships - Ides of Match,11,11.0,84
Alan Davidson,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,204.0,11.0,91
Alan Davidson,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,141.0,15.0,37
Alan Davidson,MA1,Scottish Open 2023 presented by Latitude 64,174.0,30.0,66
Alan Davidson,MA1,Caledonian Open,182.0,14.0,91
Alan Davidson,MA1,Highland Open,245.0,15.0,44
Alan Davidson,MA1,The Irish Open '23,200.0,14.0,87
Alan Davidson,MPO,The Perthshire Open,114.0,9.0,69
Alan Davidson,MA1,The Social at Bluebell Woods presented by Latitude 64,125.0,4.0,94
Alan Davidson,MA2,BIRN Amateur Championships ,113.0,8.0,83
Alan Davidson,MA1,RRR : Rosshall-Ruchill Rumble 2023,109.0,9.0,83
Alan Davidson,MA1,Scottish National Championships,210.0,19.0,82
Alan Davidson,MA1,GGO: Glasgow GIAB Open 2023,166.0,9.0,82
Alan Hogg,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf,397.0,19.0,47
Alan Hogg,MA2,The Irish Open '23,1998.0,46.0,8
Alan Hogg,MA3,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,115.0,17.0,59
Alan Young,MPO,Scottish Matchplay Championships - Ides of Match,31,31.0,53
Alan Young,MA3,Scottish Open 2023 presented by Latitude 64,189.0,47.0,33
Alastair Gower,MA4,The Social at Bluebell Woods presented by Latitude 64,265.0,23.0,58
Alastair Gower,MA40,BIRN Amateur Championships ,135.0,39.0,10
Alec Schmidt,MA4,The Irish Open '23,428.0,35.0,34
Alec Schmidt,MA3,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,116.0,18.0,56
Alec Sloan,MA2,Scottish Open 2023 presented by Latitude 64,191.0,50.0,28
Alex Burton,MPO,Scottish Matchplay Championships - Ides of Match,35,35.0,53
Alex Burton,MA3,North Fife Open,224.0,14.0,70
Alex Burton,MA3,The Social at Bluebell Woods presented by Latitude 64,260.0,17.0,69
Alex Burton,MA3,BIRN Amateur Championships ,120.0,15.0,67
Alex Burton,MA3,RRR : Rosshall-Ruchill Rumble 2023,121.0,20.0,60
Alex Burton,MA3,GGO: Glasgow GIAB Open 2023,179.0,22.0,53
Ally Pollock,MA3,Farewell Fanmore ,1998.0,38.0,23
Alun Pinder,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,223.0,28.0,43
Andrea Trevisan,MPO,Scottish Matchplay Championships - Ides of Match,57,57.0,27
Andrea Trevisan,MA3,Farewell Fanmore ,227.0,19.0,62
Andrea Trevisan,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,280.0,35.0,38
Andrea Trevisan,MA2,Highland Open,246.0,16.0,40
Andrea Trevisan,MA3,North Fife Open,239.0,21.0,45
Andrew Coulter,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf,202.0,12.0,67
Andrew Coulter,MA2,Scottish Open 2023 presented by Latitude 64,173.0,29.0,67
Andrew Coulter,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,110.0,13.0,69
Andrew Coulter,MA1,GGO: Glasgow GIAB Open 2023,184.0,30.0,36
Andrew Finlay,MPO,Scottish Matchplay Championships - Ides of Match,7,7.0,84
Andrew Finlay,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,128.0,5.0,92
Andrew Finlay,MA40,The Social at Bluebell Woods presented by Latitude 64,130.0,7.0,88
Andrew Finlay,MA40,Scottish National Championships,204.0,15.0,91
Andrew Janes,MA2,The Irish Open '23,423.0,31.0,45
Andrew Janes,MA2,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,128.0,29.0,28
Andrew Wilson,MPO,Scottish Matchplay Championships - Ides of Match,55,55.0,21
Anthony Jackson,MPO,Scottish Matchplay Championships - Ides of Match,46,46.0,34
Anthony Jackson,MA3,Farewell Fanmore ,251.0,32.0,36
Anthony Jackson,MA60,Caledonian Open,197.0,30.0,55
Anthony Jackson,MA3,Highland Open,273.0,20.0,24
Anthony Jackson,MA3,North Fife Open,261.0,28.0,19
Aobh Sharvin,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf,454.0,29.0,18
Aobh Sharvin,MA4,The Irish Open '23,477.0,42.0,18
Aobh Sharvin,FA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,147.0,36.0,11
Arvind Sood,MA50,Farewell Fanmore ,1998.0,38.0,23
Arvind Sood,MA50,RRR : Rosshall-Ruchill Rumble 2023,148.0,47.0,5
Ash Riley,MA3,RRR : Rosshall-Ruchill Rumble 2023,131.0,40.0,19
Ashton Gade,MPO,GGO: Glasgow GIAB Open 2023,144.0,2.0,97
Asim Ali,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf,1998.0,33.0,6
Asim Ali,MA1,Scottish Open 2023 presented by Latitude 64,151.0,7.0,108
Asim Ali,MPO,The Irish Open '23,173.0,2.0,116
Asim Ali,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,98.0,1.0,100
Barbara Rast,FA3,Caledonian Open,276.0,53.0,4
Barbara Rast,FA3,Scottish Matchplay Championships - Ides of Match,64,64.0,8
Beau Pettitt,FA3,The Social at Bluebell Woods presented by Latitude 64,289.0,48.0,10
Bella Tait,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,209.0,14.0,82
Ben Bolton,MPO,Farewell Fanmore ,199.0,3.0,95
Ben Bolton,MA1,Scottish Open 2023 presented by Latitude 64,169.0,24.0,76
Ben Bolton,MA1,Highland Open,233.0,6.0,80
Ben Bolton,MPO,The Perthshire Open,113.0,6.0,80
Ben Bolton,MA1,RRR : Rosshall-Ruchill Rumble 2023,1998.0,49.0,1
Ben Bolton,MA1,Scottish National Championships,215.0,28.0,63
Ben Bruce,MPO,Highland Open,1998.0,24.0,8
